defect_ref,check_id,entity_type,entity_key,description
INJ-0224,DQ-02,claim,CLM-2026-900134,"Duplicate billing fingerprint of CLM-2026-018784 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0225,DQ-02,claim,CLM-2026-900135,"Duplicate billing fingerprint of CLM-2026-008449 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0226,DQ-02,claim,CLM-2026-900136,"Duplicate billing fingerprint of CLM-2026-000427 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0227,DQ-02,claim,CLM-2026-900137,"Duplicate billing fingerprint of CLM-2026-001179 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0228,DQ-02,claim,CLM-2026-900138,"Duplicate billing fingerprint of CLM-2026-002095 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0229,DQ-02,claim,CLM-2026-900139,"Duplicate billing fingerprint of CLM-2026-004277 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0230,DQ-02,claim,CLM-2026-900140,"Duplicate billing fingerprint of CLM-2026-008056 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0231,DQ-03,remit,RMT-0023515,Second posting of claim CLM-2026-006882 under the same check/EFT
INJ-0232,DQ-03,remit,RMT-0023516,Second posting of claim CLM-2026-008444 under the same check/EFT
INJ-0233,DQ-03,remit,RMT-0023517,Second posting of claim CLM-2026-024262 under the same check/EFT
INJ-0234,DQ-03,remit,RMT-0023518,Second posting of claim CLM-2026-015873 under the same check/EFT
INJ-0235,DQ-03,remit,RMT-0023519,Second posting of claim CLM-2026-011310 under the same check/EFT
INJ-0236,DQ-03,remit,RMT-0023520,Second posting of claim CLM-2026-003956 under the same check/EFT
INJ-0237,DQ-03,remit,RMT-0023521,Second posting of claim CLM-2026-009593 under the same check/EFT
INJ-0238,DQ-03,remit,RMT-0023522,Second posting of claim CLM-2026-022266 under the same check/EFT
INJ-0239,DQ-03,remit,RMT-0023523,Second posting of claim CLM-2026-005033 under the same check/EFT
INJ-0240,DQ-03,remit,RMT-0023524,Second posting of claim CLM-2026-003680 under the same check/EFT
INJ-0241,DQ-03,remit,RMT-0023525,Second posting of claim CLM-2026-010094 under the same check/EFT
INJ-0242,DQ-03,remit,RMT-0023526,Second posting of claim CLM-2026-001072 under the same check/EFT
INJ-0243,DQ-03,remit,RMT-0023527,Second posting of claim CLM-2026-022654 under the same check/EFT
INJ-0244,DQ-03,remit,RMT-0023528,Second posting of claim CLM-2026-002718 under the same check/EFT
INJ-0245,DQ-03,remit,RMT-0023529,Second posting of claim CLM-2026-023811 under the same check/EFT
INJ-0246,DQ-03,remit,RMT-0023530,Second posting of claim CLM-2026-020173 under the same check/EFT
INJ-0247,DQ-03,remit,RMT-0023531,Second posting of claim CLM-2026-024378 under the same check/EFT
INJ-0248,DQ-03,remit,RMT-0023532,Second posting of claim CLM-2026-018356 under the same check/EFT
INJ-0249,DQ-03,remit,RMT-0023533,Second posting of claim CLM-2026-011328 under the same check/EFT
INJ-0250,DQ-03,remit,RMT-0023534,Second posting of claim CLM-2026-007546 under the same check/EFT
INJ-0251,DQ-03,remit,RMT-0023535,Second posting of claim CLM-2026-017226 under the same check/EFT
INJ-0252,DQ-03,remit,RMT-0023536,Second posting of claim CLM-2026-023380 under the same check/EFT
INJ-0253,DQ-03,remit,RMT-0023537,Second posting of claim CLM-2026-007070 under the same check/EFT
INJ-0254,DQ-03,remit,RMT-0023538,Second posting of claim CLM-2026-004630 under the same check/EFT
INJ-0255,DQ-03,remit,RMT-0023539,Second posting of claim CLM-2026-023633 under the same check/EFT
INJ-0256,DQ-03,remit,RMT-0023540,Second posting of claim CLM-2026-000348 under the same check/EFT
INJ-0257,DQ-03,remit,RMT-0023541,Second posting of claim CLM-2026-015762 under the same check/EFT
INJ-0258,DQ-03,remit,RMT-0023542,Second posting of claim CLM-2026-002094 under the same check/EFT
INJ-0259,DQ-03,remit,RMT-0023543,Second posting of claim CLM-2026-005811 under the same check/EFT
INJ-0260,DQ-03,remit,RMT-0023544,Second posting of claim CLM-2026-010621 under the same check/EFT
INJ-0261,DQ-03,remit,RMT-0023545,Second posting of claim CLM-2026-018991 under the same check/EFT
INJ-0262,DQ-03,remit,RMT-0023546,Second posting of claim CLM-2026-000380 under the same check/EFT
INJ-0263,DQ-03,remit,RMT-0023547,Second posting of claim CLM-2026-016106 under the same check/EFT
INJ-0264,DQ-03,remit,RMT-0023548,Second posting of claim CLM-2026-018438 under the same check/EFT
INJ-0265,DQ-03,remit,RMT-0023549,Second posting of claim CLM-2026-015107 under the same check/EFT
INJ-0266,DQ-03,remit,RMT-0023550,Second posting of claim CLM-2026-022134 under the same check/EFT
INJ-0267,DQ-03,remit,RMT-0023551,Second posting of claim CLM-2026-007384 under the same check/EFT
INJ-0268,DQ-03,remit,RMT-0023552,Second posting of claim CLM-2026-008709 under the same check/EFT
INJ-0269,DQ-03,remit,RMT-0023553,Second posting of claim CLM-2026-017224 under the same check/EFT
INJ-0270,DQ-03,remit,RMT-0023554,Second posting of claim CLM-2026-006956 under the same check/EFT
INJ-0271,DQ-03,remit,RMT-0023555,Second posting of claim CLM-2026-013643 under the same check/EFT
INJ-0272,DQ-03,remit,RMT-0023556,Second posting of claim CLM-2026-011245 under the same check/EFT
INJ-0273,DQ-03,remit,RMT-0023557,Second posting of claim CLM-2026-017623 under the same check/EFT
INJ-0274,DQ-03,remit,RMT-0023558,Second posting of claim CLM-2026-001060 under the same check/EFT
INJ-0275,DQ-03,remit,RMT-0023559,Second posting of claim CLM-2026-024972 under the same check/EFT
INJ-0276,DQ-03,remit,RMT-0023560,Second posting of claim CLM-2026-009202 under the same check/EFT
INJ-0277,DQ-03,remit,RMT-0023561,Second posting of claim CLM-2026-001892 under the same check/EFT
INJ-0278,DQ-03,remit,RMT-0023562,Second posting of claim CLM-2026-006320 under the same check/EFT
INJ-0279,DQ-03,remit,RMT-0023563,Second posting of claim CLM-2026-021202 under the same check/EFT
INJ-0280,DQ-03,remit,RMT-0023564,Second posting of claim CLM-2026-024145 under the same check/EFT
INJ-0281,DQ-03,remit,RMT-0023565,Second posting of claim CLM-2026-000287 under the same check/EFT
INJ-0282,DQ-03,remit,RMT-0023566,Second posting of claim CLM-2026-011066 under the same check/EFT
INJ-0283,DQ-03,remit,RMT-0023567,Second posting of claim CLM-2026-023842 under the same check/EFT
INJ-0284,DQ-03,remit,RMT-0023568,Second posting of claim CLM-2026-009895 under the same check/EFT
INJ-0285,DQ-03,remit,RMT-0023569,Second posting of claim CLM-2026-007956 under the same check/EFT
INJ-0286,DQ-03,remit,RMT-0023570,Second posting of claim CLM-2026-004982 under the same check/EFT
INJ-0287,DQ-03,remit,RMT-0023571,Second posting of claim CLM-2026-010946 under the same check/EFT
INJ-0288,DQ-03,remit,RMT-0023572,Second posting of claim CLM-2026-017575 under the same check/EFT
INJ-0289,DQ-03,remit,RMT-0023573,Second posting of claim CLM-2026-016985 under the same check/EFT
INJ-0290,DQ-03,remit,RMT-0023574,Second posting of claim CLM-2026-003218 under the same check/EFT
INJ-0291,DQ-03,remit,RMT-0023575,Second posting of claim CLM-2026-007029 under the same check/EFT
INJ-0292,DQ-03,remit,RMT-0023576,Second posting of claim CLM-2026-011203 under the same check/EFT
INJ-0293,DQ-03,remit,RMT-0023577,Second posting of claim CLM-2026-001996 under the same check/EFT
INJ-0294,DQ-03,remit,RMT-0023578,Second posting of claim CLM-2026-012373 under the same check/EFT
INJ-0295,DQ-03,remit,RMT-0023579,Second posting of claim CLM-2026-001827 under the same check/EFT
INJ-0296,DQ-03,remit,RMT-0023580,Second posting of claim CLM-2026-018106 under the same check/EFT
INJ-0297,DQ-03,remit,RMT-0023581,Second posting of claim CLM-2026-018013 under the same check/EFT
INJ-0298,DQ-03,remit,RMT-0023582,Second posting of claim CLM-2026-021849 under the same check/EFT
INJ-0299,DQ-03,remit,RMT-0023583,Second posting of claim CLM-2026-014846 under the same check/EFT
INJ-0300,DQ-03,remit,RMT-0023584,Second posting of claim CLM-2026-003381 under the same check/EFT
INJ-0301,DQ-03,remit,RMT-0023585,Second posting of claim CLM-2026-013722 under the same check/EFT
INJ-0302,DQ-03,remit,RMT-0023586,Second posting of claim CLM-2026-021136 under the same check/EFT
INJ-0303,DQ-03,remit,RMT-0023587,Second posting of claim CLM-2026-011446 under the same check/EFT
INJ-0304,DQ-03,remit,RMT-0023588,Second posting of claim CLM-2026-003171 under the same check/EFT
INJ-0305,DQ-03,remit,RMT-0023589,Second posting of claim CLM-2026-023154 under the same check/EFT
INJ-0306,DQ-04,remit,RMT-0023590,"Remittance posted against claim CLM-2026-800001, absent from the claims feed"
INJ-0307,DQ-04,remit,RMT-0023591,"Remittance posted against claim CLM-2026-800002, absent from the claims feed"
INJ-0308,DQ-04,remit,RMT-0023592,"Remittance posted against claim CLM-2026-800003, absent from the claims feed"
INJ-0309,DQ-04,remit,RMT-0023593,"Remittance posted against claim CLM-2026-800004, absent from the claims feed"
INJ-0310,DQ-04,remit,RMT-0023594,"Remittance posted against claim CLM-2026-800005, absent from the claims feed"
INJ-0311,DQ-04,remit,RMT-0023595,"Remittance posted against claim CLM-2026-800006, absent from the claims feed"
INJ-0312,DQ-04,remit,RMT-0023596,"Remittance posted against claim CLM-2026-800007, absent from the claims feed"
INJ-0313,DQ-04,remit,RMT-0023597,"Remittance posted against claim CLM-2026-800008, absent from the claims feed"
INJ-0314,DQ-04,remit,RMT-0023598,"Remittance posted against claim CLM-2026-800009, absent from the claims feed"
INJ-0315,DQ-04,remit,RMT-0023599,"Remittance posted against claim CLM-2026-800010, absent from the claims feed"
INJ-0316,DQ-04,remit,RMT-0023600,"Remittance posted against claim CLM-2026-800011, absent from the claims feed"
INJ-0317,DQ-04,remit,RMT-0023601,"Remittance posted against claim CLM-2026-800012, absent from the claims feed"
INJ-0318,DQ-04,remit,RMT-0023602,"Remittance posted against claim CLM-2026-800013, absent from the claims feed"
INJ-0319,DQ-04,remit,RMT-0023603,"Remittance posted against claim CLM-2026-800014, absent from the claims feed"
INJ-0320,DQ-04,remit,RMT-0023604,"Remittance posted against claim CLM-2026-800015, absent from the claims feed"
INJ-0321,DQ-04,remit,RMT-0023605,"Remittance posted against claim CLM-2026-800016, absent from the claims feed"
INJ-0322,DQ-04,remit,RMT-0023606,"Remittance posted against claim CLM-2026-800017, absent from the claims feed"
INJ-0323,DQ-04,remit,RMT-0023607,"Remittance posted against claim CLM-2026-800018, absent from the claims feed"
INJ-0324,DQ-04,remit,RMT-0023608,"Remittance posted against claim CLM-2026-800019, absent from the claims feed"
INJ-0325,DQ-04,remit,RMT-0023609,"Remittance posted against claim CLM-2026-800020, absent from the claims feed"
INJ-0326,DQ-04,remit,RMT-0023610,"Remittance posted against claim CLM-2026-800021, absent from the claims feed"
INJ-0327,DQ-04,remit,RMT-0023611,"Remittance posted against claim CLM-2026-800022, absent from the claims feed"
INJ-0328,DQ-04,remit,RMT-0023612,"Remittance posted against claim CLM-2026-800023, absent from the claims feed"
INJ-0329,DQ-04,remit,RMT-0023613,"Remittance posted against claim CLM-2026-800024, absent from the claims feed"
INJ-0330,DQ-04,remit,RMT-0023614,"Remittance posted against claim CLM-2026-800025, absent from the claims feed"
INJ-0331,DQ-04,remit,RMT-0023615,"Remittance posted against claim CLM-2026-800026, absent from the claims feed"
INJ-0332,DQ-04,remit,RMT-0023616,"Remittance posted against claim CLM-2026-800027, absent from the claims feed"
INJ-0333,DQ-04,remit,RMT-0023617,"Remittance posted against claim CLM-2026-800028, absent from the claims feed"
INJ-0334,DQ-04,remit,RMT-0023618,"Remittance posted against claim CLM-2026-800029, absent from the claims feed"
INJ-0335,DQ-04,remit,RMT-0023619,"Remittance posted against claim CLM-2026-800030, absent from the claims feed"
INJ-0336,DQ-04,remit,RMT-0023620,"Remittance posted against claim CLM-2026-800031, absent from the claims feed"
INJ-0337,DQ-04,remit,RMT-0023621,"Remittance posted against claim CLM-2026-800032, absent from the claims feed"
INJ-0338,DQ-04,remit,RMT-0023622,"Remittance posted against claim CLM-2026-800033, absent from the claims feed"
INJ-0339,DQ-04,remit,RMT-0023623,"Remittance posted against claim CLM-2026-800034, absent from the claims feed"
INJ-0340,DQ-04,remit,RMT-0023624,"Remittance posted against claim CLM-2026-800035, absent from the claims feed"
INJ-0341,DQ-04,remit,RMT-0023625,"Remittance posted against claim CLM-2026-800036, absent from the claims feed"
INJ-0342,DQ-04,remit,RMT-0023626,"Remittance posted against claim CLM-2026-800037, absent from the claims feed"
INJ-0343,DQ-04,remit,RMT-0023627,"Remittance posted against claim CLM-2026-800038, absent from the claims feed"
INJ-0344,DQ-04,remit,RMT-0023628,"Remittance posted against claim CLM-2026-800039, absent from the claims feed"
INJ-0345,DQ-04,remit,RMT-0023629,"Remittance posted against claim CLM-2026-800040, absent from the claims feed"
INJ-0346,DQ-04,remit,RMT-0023630,"Remittance posted against claim CLM-2026-800041, absent from the claims feed"
INJ-0347,DQ-04,remit,RMT-0023631,"Remittance posted against claim CLM-2026-800042, absent from the claims feed"
INJ-0348,DQ-04,remit,RMT-0023632,"Remittance posted against claim CLM-2026-800043, absent from the claims feed"
INJ-0349,DQ-04,remit,RMT-0023633,"Remittance posted against claim CLM-2026-800044, absent from the claims feed"
INJ-0350,DQ-04,remit,RMT-0023634,"Remittance posted against claim CLM-2026-800045, absent from the claims feed"
INJ-0351,DQ-04,remit,RMT-0023635,"Remittance posted against claim CLM-2026-800046, absent from the claims feed"
INJ-0352,DQ-04,remit,RMT-0023636,"Remittance posted against claim CLM-2026-800047, absent from the claims feed"
INJ-0353,DQ-04,remit,RMT-0023637,"Remittance posted against claim CLM-2026-800048, absent from the claims feed"
INJ-0354,DQ-04,remit,RMT-0023638,"Remittance posted against claim CLM-2026-800049, absent from the claims feed"
INJ-0355,DQ-04,remit,RMT-0023639,"Remittance posted against claim CLM-2026-800050, absent from the claims feed"
INJ-0356,DQ-04,remit,RMT-0023640,"Remittance posted against claim CLM-2026-800051, absent from the claims feed"
INJ-0357,DQ-04,remit,RMT-0023641,"Remittance posted against claim CLM-2026-800052, absent from the claims feed"
INJ-0358,DQ-04,remit,RMT-0023642,"Remittance posted against claim CLM-2026-800053, absent from the claims feed"
INJ-0359,DQ-04,remit,RMT-0023643,"Remittance posted against claim CLM-2026-800054, absent from the claims feed"
INJ-0360,DQ-04,remit,RMT-0023644,"Remittance posted against claim CLM-2026-800055, absent from the claims feed"
INJ-0361,DQ-04,remit,RMT-0023645,"Remittance posted against claim CLM-2026-800056, absent from the claims feed"
INJ-0362,DQ-04,remit,RMT-0023646,"Remittance posted against claim CLM-2026-800057, absent from the claims feed"
INJ-0363,DQ-04,remit,RMT-0023647,"Remittance posted against claim CLM-2026-800058, absent from the claims feed"
INJ-0364,DQ-04,remit,RMT-0023648,"Remittance posted against claim CLM-2026-800059, absent from the claims feed"
INJ-0365,DQ-04,remit,RMT-0023649,"Remittance posted against claim CLM-2026-800060, absent from the claims feed"
INJ-0366,DQ-04,remit,RMT-0023650,"Remittance posted against claim CLM-2026-800061, absent from the claims feed"
INJ-0367,DQ-04,remit,RMT-0023651,"Remittance posted against claim CLM-2026-800062, absent from the claims feed"
INJ-0368,DQ-04,remit,RMT-0023652,"Remittance posted against claim CLM-2026-800063, absent from the claims feed"
INJ-0369,DQ-04,remit,RMT-0023653,"Remittance posted against claim CLM-2026-800064, absent from the claims feed"
INJ-0370,DQ-04,remit,RMT-0023654,"Remittance posted against claim CLM-2026-800065, absent from the claims feed"
INJ-0371,DQ-04,remit,RMT-0023655,"Remittance posted against claim CLM-2026-800066, absent from the claims feed"
INJ-0372,DQ-04,remit,RMT-0023656,"Remittance posted against claim CLM-2026-800067, absent from the claims feed"
INJ-0373,DQ-04,remit,RMT-0023657,"Remittance posted against claim CLM-2026-800068, absent from the claims feed"
INJ-0374,DQ-04,remit,RMT-0023658,"Remittance posted against claim CLM-2026-800069, absent from the claims feed"
INJ-0375,DQ-04,remit,RMT-0023659,"Remittance posted against claim CLM-2026-800070, absent from the claims feed"
INJ-0376,DQ-04,remit,RMT-0023660,"Remittance posted against claim CLM-2026-800071, absent from the claims feed"
INJ-0377,DQ-04,remit,RMT-0023661,"Remittance posted against claim CLM-2026-800072, absent from the claims feed"
INJ-0378,DQ-04,remit,RMT-0023662,"Remittance posted against claim CLM-2026-800073, absent from the claims feed"
INJ-0379,DQ-04,remit,RMT-0023663,"Remittance posted against claim CLM-2026-800074, absent from the claims feed"
INJ-0380,DQ-04,remit,RMT-0023664,"Remittance posted against claim CLM-2026-800075, absent from the claims feed"
INJ-0381,DQ-04,remit,RMT-0023665,"Remittance posted against claim CLM-2026-800076, absent from the claims feed"
INJ-0382,DQ-04,remit,RMT-0023666,"Remittance posted against claim CLM-2026-800077, absent from the claims feed"
INJ-0383,DQ-04,remit,RMT-0023667,"Remittance posted against claim CLM-2026-800078, absent from the claims feed"
INJ-0384,DQ-04,remit,RMT-0023668,"Remittance posted against claim CLM-2026-800079, absent from the claims feed"
INJ-0385,DQ-04,remit,RMT-0023669,"Remittance posted against claim CLM-2026-800080, absent from the claims feed"
INJ-0386,DQ-04,remit,RMT-0023670,"Remittance posted against claim CLM-2026-800081, absent from the claims feed"
INJ-0387,DQ-04,remit,RMT-0023671,"Remittance posted against claim CLM-2026-800082, absent from the claims feed"
INJ-0388,DQ-04,remit,RMT-0023672,"Remittance posted against claim CLM-2026-800083, absent from the claims feed"
INJ-0389,DQ-04,remit,RMT-0023673,"Remittance posted against claim CLM-2026-800084, absent from the claims feed"
INJ-0390,DQ-04,remit,RMT-0023674,"Remittance posted against claim CLM-2026-800085, absent from the claims feed"
INJ-0391,DQ-04,remit,RMT-0023675,"Remittance posted against claim CLM-2026-800086, absent from the claims feed"
INJ-0392,DQ-04,remit,RMT-0023676,"Remittance posted against claim CLM-2026-800087, absent from the claims feed"
INJ-0393,DQ-04,remit,RMT-0023677,"Remittance posted against claim CLM-2026-800088, absent from the claims feed"
INJ-0394,DQ-04,remit,RMT-0023678,"Remittance posted against claim CLM-2026-800089, absent from the claims feed"
INJ-0395,DQ-04,remit,RMT-0023679,"Remittance posted against claim CLM-2026-800090, absent from the claims feed"
INJ-0396,DQ-04,remit,RMT-0023680,"Remittance posted against claim CLM-2026-800091, absent from the claims feed"
INJ-0397,DQ-04,remit,RMT-0023681,"Remittance posted against claim CLM-2026-800092, absent from the claims feed"
INJ-0398,DQ-04,remit,RMT-0023682,"Remittance posted against claim CLM-2026-800093, absent from the claims feed"
INJ-0399,DQ-04,remit,RMT-0023683,"Remittance posted against claim CLM-2026-800094, absent from the claims feed"
INJ-0400,DQ-04,remit,RMT-0023684,"Remittance posted against claim CLM-2026-800095, absent from the claims feed"
INJ-0401,DQ-04,remit,RMT-0023685,"Remittance posted against claim CLM-2026-800096, absent from the claims feed"
INJ-0402,DQ-04,remit,RMT-0023686,"Remittance posted against claim CLM-2026-800097, absent from the claims feed"
INJ-0403,DQ-04,remit,RMT-0023687,"Remittance posted against claim CLM-2026-800098, absent from the claims feed"
INJ-0404,DQ-04,remit,RMT-0023688,"Remittance posted against claim CLM-2026-800099, absent from the claims feed"
INJ-0405,DQ-04,remit,RMT-0023689,"Remittance posted against claim CLM-2026-800100, absent from the claims feed"
INJ-0406,DQ-04,remit,RMT-0023690,"Remittance posted against claim CLM-2026-800101, absent from the claims feed"
INJ-0407,DQ-04,remit,RMT-0023691,"Remittance posted against claim CLM-2026-800102, absent from the claims feed"
INJ-0408,DQ-04,remit,RMT-0023692,"Remittance posted against claim CLM-2026-800103, absent from the claims feed"
INJ-0409,DQ-04,remit,RMT-0023693,"Remittance posted against claim CLM-2026-800104, absent from the claims feed"
INJ-0410,DQ-04,remit,RMT-0023694,"Remittance posted against claim CLM-2026-800105, absent from the claims feed"
INJ-0411,DQ-04,remit,RMT-0023695,"Remittance posted against claim CLM-2026-800106, absent from the claims feed"
INJ-0412,DQ-04,remit,RMT-0023696,"Remittance posted against claim CLM-2026-800107, absent from the claims feed"
INJ-0413,DQ-04,remit,RMT-0023697,"Remittance posted against claim CLM-2026-800108, absent from the claims feed"
INJ-0414,DQ-04,remit,RMT-0023698,"Remittance posted against claim CLM-2026-800109, absent from the claims feed"
INJ-0415,DQ-04,remit,RMT-0023699,"Remittance posted against claim CLM-2026-800110, absent from the claims feed"
INJ-0416,DQ-04,remit,RMT-0023700,"Remittance posted against claim CLM-2026-800111, absent from the claims feed"
INJ-0417,DQ-04,remit,RMT-0023701,"Remittance posted against claim CLM-2026-800112, absent from the claims feed"
INJ-0418,DQ-04,remit,RMT-0023702,"Remittance posted against claim CLM-2026-800113, absent from the claims feed"
INJ-0419,DQ-04,remit,RMT-0023703,"Remittance posted against claim CLM-2026-800114, absent from the claims feed"
INJ-0420,DQ-04,remit,RMT-0023704,"Remittance posted against claim CLM-2026-800115, absent from the claims feed"
INJ-0421,DQ-04,remit,RMT-0023705,"Remittance posted against claim CLM-2026-800116, absent from the claims feed"
INJ-0422,DQ-04,remit,RMT-0023706,"Remittance posted against claim CLM-2026-800117, absent from the claims feed"
INJ-0423,DQ-04,remit,RMT-0023707,"Remittance posted against claim CLM-2026-800118, absent from the claims feed"
INJ-0424,DQ-04,remit,RMT-0023708,"Remittance posted against claim CLM-2026-800119, absent from the claims feed"
INJ-0425,DQ-04,remit,RMT-0023709,"Remittance posted against claim CLM-2026-800120, absent from the claims feed"
INJ-0426,DQ-05,claim,CLM-2026-002828,Claim carries PAID status but no remittance line was received
INJ-0427,DQ-05,claim,CLM-2026-010210,Claim carries PAID status but no remittance line was received
INJ-0428,DQ-05,claim,CLM-2026-010735,Claim carries PAID status but no remittance line was received
INJ-0429,DQ-05,claim,CLM-2026-010524,Claim carries PAID status but no remittance line was received
INJ-0430,DQ-05,claim,CLM-2026-017587,Claim carries PAID status but no remittance line was received
INJ-0431,DQ-05,claim,CLM-2026-020583,Claim carries PAID status but no remittance line was received
INJ-0432,DQ-05,claim,CLM-2026-012613,Claim carries PAID status but no remittance line was received
INJ-0433,DQ-05,claim,CLM-2026-013316,Claim carries PAID status but no remittance line was received
INJ-0434,DQ-05,claim,CLM-2026-017342,Claim carries PAID status but no remittance line was received
INJ-0435,DQ-05,claim,CLM-2026-011415,Claim carries PAID status but no remittance line was received
INJ-0436,DQ-05,claim,CLM-2026-018725,Claim carries PAID status but no remittance line was received
INJ-0437,DQ-05,claim,CLM-2026-019824,Claim carries PAID status but no remittance line was received
INJ-0438,DQ-05,claim,CLM-2026-024438,Claim carries PAID status but no remittance line was received
INJ-0439,DQ-05,claim,CLM-2026-008643,Claim carries PAID status but no remittance line was received
INJ-0440,DQ-05,claim,CLM-2026-009985,Claim carries PAID status but no remittance line was received
INJ-0441,DQ-05,claim,CLM-2026-012848,Claim carries PAID status but no remittance line was received
INJ-0442,DQ-05,claim,CLM-2026-017137,Claim carries PAID status but no remittance line was received
INJ-0443,DQ-05,claim,CLM-2026-009322,Claim carries PAID status but no remittance line was received
INJ-0444,DQ-05,claim,CLM-2026-004125,Claim carries PAID status but no remittance line was received
INJ-0445,DQ-05,claim,CLM-2026-015823,Claim carries PAID status but no remittance line was received
INJ-0446,DQ-05,claim,CLM-2026-010812,Claim carries PAID status but no remittance line was received
INJ-0447,DQ-05,claim,CLM-2026-008254,Claim carries PAID status but no remittance line was received
INJ-0448,DQ-05,claim,CLM-2026-016684,Claim carries PAID status but no remittance line was received
INJ-0449,DQ-05,claim,CLM-2026-017010,Claim carries PAID status but no remittance line was received
INJ-0450,DQ-05,claim,CLM-2026-017617,Claim carries PAID status but no remittance line was received
INJ-0451,DQ-05,claim,CLM-2026-009729,Claim carries PAID status but no remittance line was received
INJ-0452,DQ-05,claim,CLM-2026-001248,Claim carries PAID status but no remittance line was received
INJ-0453,DQ-05,claim,CLM-2026-021960,Claim carries PAID status but no remittance line was received
INJ-0454,DQ-05,claim,CLM-2026-018176,Claim carries PAID status but no remittance line was received
INJ-0455,DQ-05,claim,CLM-2026-015727,Claim carries PAID status but no remittance line was received
INJ-0456,DQ-05,claim,CLM-2026-001135,Claim carries PAID status but no remittance line was received
INJ-0457,DQ-05,claim,CLM-2026-011506,Claim carries PAID status but no remittance line was received
INJ-0458,DQ-05,claim,CLM-2026-022457,Claim carries PAID status but no remittance line was received
INJ-0459,DQ-05,claim,CLM-2026-014956,Claim carries PAID status but no remittance line was received
INJ-0460,DQ-05,claim,CLM-2026-008317,Claim carries PAID status but no remittance line was received
INJ-0461,DQ-05,claim,CLM-2026-006218,Claim carries PAID status but no remittance line was received
INJ-0462,DQ-05,claim,CLM-2026-020512,Claim carries PAID status but no remittance line was received
INJ-0463,DQ-05,claim,CLM-2026-002777,Claim carries PAID status but no remittance line was received
INJ-0464,DQ-05,claim,CLM-2026-009924,Claim carries PAID status but no remittance line was received
INJ-0465,DQ-05,claim,CLM-2026-024768,Claim carries PAID status but no remittance line was received
INJ-0466,DQ-05,claim,CLM-2026-000103,Claim carries PAID status but no remittance line was received
INJ-0467,DQ-05,claim,CLM-2026-002597,Claim carries PAID status but no remittance line was received
INJ-0468,DQ-05,claim,CLM-2026-009612,Claim carries PAID status but no remittance line was received
INJ-0469,DQ-05,claim,CLM-2026-020486,Claim carries PAID status but no remittance line was received
INJ-0470,DQ-05,claim,CLM-2026-010291,Claim carries PAID status but no remittance line was received
INJ-0471,DQ-05,claim,CLM-2026-014533,Claim carries PAID status but no remittance line was received
INJ-0472,DQ-05,claim,CLM-2026-021438,Claim carries PAID status but no remittance line was received
INJ-0473,DQ-05,claim,CLM-2026-013964,Claim carries PAID status but no remittance line was received
INJ-0474,DQ-05,claim,CLM-2026-022305,Claim carries PAID status but no remittance line was received
INJ-0475,DQ-05,claim,CLM-2026-011322,Claim carries PAID status but no remittance line was received
INJ-0476,DQ-05,claim,CLM-2026-015753,Claim carries PAID status but no remittance line was received
INJ-0477,DQ-05,claim,CLM-2026-010866,Claim carries PAID status but no remittance line was received
INJ-0478,DQ-05,claim,CLM-2026-002592,Claim carries PAID status but no remittance line was received
INJ-0479,DQ-05,claim,CLM-2026-006725,Claim carries PAID status but no remittance line was received
INJ-0480,DQ-05,claim,CLM-2026-001202,Claim carries PAID status but no remittance line was received
INJ-0481,DQ-05,claim,CLM-2026-008191,Claim carries PAID status but no remittance line was received
INJ-0482,DQ-05,claim,CLM-2026-009324,Claim carries PAID status but no remittance line was received
INJ-0483,DQ-05,claim,CLM-2026-015898,Claim carries PAID status but no remittance line was received
INJ-0484,DQ-05,claim,CLM-2026-024071,Claim carries PAID status but no remittance line was received
INJ-0485,DQ-05,claim,CLM-2026-018133,Claim carries PAID status but no remittance line was received
INJ-0486,DQ-06,claim,CLM-2026-003131,Paid + patient responsibility + adjustment no longer balances to the billed amount on claim CLM-2026-003131
INJ-0487,DQ-06,claim,CLM-2026-023760,Paid + patient responsibility + adjustment no longer balances to the billed amount on claim CLM-2026-023760
INJ-0488,DQ-06,claim,CLM-2026-010995,Paid + patient responsibility + adjustment no longer balances to the billed amount on claim CLM-2026-010995
INJ-0489,DQ-06,claim,CLM-2026-014620,Paid + patient responsibility + adjustment no longer balances to the billed amount on claim CLM-2026-014620
INJ-0490,DQ-06,claim,CLM-2026-014350,Paid + patient responsibility + adjustment no longer balances to the billed amount on claim CLM-2026-014350
INJ-0491,DQ-06,claim,CLM-2026-009372,Paid + patient responsibility + adjustment no longer balances to the billed amount on claim CLM-2026-009372
INJ-0492,DQ-06,claim,CLM-2026-004103,Paid + patient responsibility + adjustment no longer balances to the billed amount on claim CLM-2026-004103
INJ-0493,DQ-06,claim,CLM-2026-016833,Paid + patient responsibility + adjustment no longer balances to the billed amount on claim CLM-2026-016833
INJ-0494,DQ-06,claim,CLM-2026-006724,Paid + patient responsibility + adjustment no longer balances to the billed amount on claim CLM-2026-006724
